,/ram/load/0,/ram/data/0,/ram/data/1
Time,"Memory","Used Memory","Available Memory"
09/22/2021 14:51:17,68.84089,10.8475685,4.90988159
09/22/2021 14:51:47,68.66573,10.8199692,4.937481
09/22/2021 14:52:17,69.01151,10.8744545,4.88299561
09/22/2021 14:52:47,68.9626846,10.86676,4.89069
09/22/2021 14:54:17,68.89042,10.8553734,4.90207672
09/22/2021 14:54:47,69.1387,10.8944969,4.862953
09/22/2021 14:55:17,69.9750748,11.0262871,4.731163
09/22/2021 14:55:47,69.5815353,10.9642754,4.79317474
09/22/2021 14:56:17,69.26609,10.91457,4.84288025
09/22/2021 14:56:47,69.31785,10.9227257,4.83472443
09/22/2021 14:57:17,69.07961,10.8851852,4.872265
09/22/2021 14:57:48,69.07497,10.8844528,4.87299728
09/22/2021 14:58:18,69.06697,10.883194,4.874256
09/22/2021 14:59:48,75.17197,11.8451843,3.91226578
09/22/2021 15:00:18,75.30506,11.8661575,3.89129257
09/22/2021 15:00:48,75.678894,11.9250641,3.832386
09/22/2021 15:01:18,75.26381,11.8596573,3.89779282
09/22/2021 15:01:48,74.6650543,11.7653084,3.99214172
09/22/2021 15:02:18,75.1232,11.8375015,3.91994858
09/22/2021 15:02:48,75.8879852,11.9580116,3.79943848
09/22/2021 15:03:18,75.2164841,11.8522,3.90525055
09/22/2021 15:03:48,73.2944641,11.5493393,4.208111
09/22/2021 15:04:18,73.89102,11.6433411,4.114109
09/22/2021 15:04:48,74.34729,11.7152367,4.04221344
09/22/2021 15:05:18,74.13878,11.6823807,4.07506943
09/22/2021 15:05:48,74.71991,11.7739525,3.98349762
09/22/2021 15:06:18,72.5345,11.4295883,4.327862
09/22/2021 15:06:48,70.71756,11.1432838,4.61416626
09/22/2021 15:07:18,70.69976,11.14048,4.61697
09/22/2021 15:07:48,70.80785,11.1575127,4.59993744
09/22/2021 15:08:18,70.95245,11.1802979,4.57715225
09/22/2021 15:08:48,70.9939041,11.1868286,4.57062149
09/22/2021 15:09:18,70.95478,11.1806641,4.576786
09/22/2021 15:09:48,70.85252,11.1645508,4.59289932
09/22/2021 15:10:19,70.8457947,11.16349,4.59396
09/22/2021 15:10:49,70.88777,11.170105,4.587345
09/22/2021 15:11:19,70.75702,11.1495018,4.6079483
09/22/2021 15:11:49,70.41347,11.0953674,4.66208267
09/22/2021 15:12:19,70.54127,11.1155052,4.641945
09/22/2021 15:12:49,70.45044,11.1011925,4.65625763
09/22/2021 15:13:19,70.58635,11.1226082,4.634842
09/22/2021 15:13:49,70.28269,11.07476,4.68268967
09/22/2021 15:14:19,71.1548157,11.2121849,4.545265
09/22/2021 15:14:49,70.33293,11.0826759,4.674774
09/22/2021 15:15:19,70.01117,11.0319748,4.72547531
09/22/2021 15:15:50,70.2174759,11.0644836,4.69296646
09/22/2021 15:16:20,70.56952,11.119957,4.637493
09/22/2021 15:16:50,70.05482,11.0388527,4.71859741
09/22/2021 15:17:20,70.8983,11.1717644,4.58568573
09/22/2021 15:17:50,70.6570358,11.1337471,4.623703
09/22/2021 15:18:20,71.47057,11.26194,4.49551
09/22/2021 15:18:50,71.491806,11.2652855,4.49216461
09/22/2021 15:19:20,71.46779,11.2615013,4.495949
09/22/2021 15:19:50,71.0145,11.1900749,4.567375
09/22/2021 15:20:20,71.18653,11.2171822,4.540268
09/22/2021 15:20:50,71.20091,11.2194481,4.538002
09/22/2021 15:21:20,72.74076,11.46209,4.29536057
09/22/2021 15:21:50,70.49803,11.1086922,4.648758
09/22/2021 15:22:20,70.07842,11.042572,4.714878
09/22/2021 15:22:50,70.00756,11.0314064,4.7260437
09/22/2021 15:23:20,69.96009,11.0239258,4.73352432
09/22/2021 15:23:50,69.70829,10.9842491,4.773201
09/22/2021 15:24:20,69.5972,10.9667435,4.79070663
09/22/2021 15:24:50,69.52958,10.956089,4.801361
09/22/2021 15:25:20,69.22259,10.9077148,4.84973526
09/22/2021 15:25:50,68.98101,10.869648,4.887802
09/22/2021 15:26:21,68.79634,10.8405495,4.91690063
09/22/2021 15:26:51,67.7098541,10.6693459,5.08810425
09/22/2021 15:27:21,67.67879,10.6644516,5.0929985
